text,isConcert
anacondaz  дубак official music video  на улице дубак на сердце хорошо   ноября  москва  stadium  декабря  минск  republic  декабря  санктпетербург  a  билеты и расписание тура anacondazru,1
продажи билетов в stadium на нашем сайте закрыты  но их еще можно заказать здесь  httpsvkcomapp  httpsvkccvug   до встречи на концерте,1
друзья настоятельно просим вас отказаться от использования пиротехники не согласованной со службой безопасности клуба на нашем завтрашнем концерте в стадиуме надеемся на ваше понимание всем мир ,1
москва завтра,1
напоминаем что наш московский концерт который состоится уже в эту пятницу откроют специальные гости группа ермак   ноября | stadium |   собираемся к самому началу билеты anacondazru,1
немного закадровости нашего нового клипа дубак  кстати если вы его както пропустили то он здесь httpswwwyoutubecomwatchvwbkcwhumci,0
anacondaz  беляши live at stadium   большие концерты в трех столицах  ноября  москва  stadium  декабря  минск  republic  декабря  санктпетербург  a  билеты и расписание тура anacondazru,1
альбом все успели расслушать пора бы определиться с любимым треканом  зы песня двое в голосовалку не вместилась но если она  ваш фаворит можете отметить это в комментарии  anacondaz ятебяникогда,0
junkyard storytellaz  специальные гости нашего питерского концерта  просим любить и жаловать их  декабря в a  билеты anacondazruanacondazinspbhall,1
москва stadium презентация альбома я тебя никогда  уже  ноября то есть в эту пятницу  билеты anacondazruanacondazinmoscowhall  anacondaz ятебяникогда adrenalinestadium,1
как там на улице,0
екб,1
немножко проверили музыкальную эрудицию группы slaves  ищи нас гдето на пятой минуте,0
у нас тут черная пятница в самом разгаре   кому pauzernмерча по дичайшим скидкам  anacondazrutourproducts  чернаяпятница blackfriday носкисдинозаврами,0
ровно год со дня выхода клипа двое  спасибо солнечный питер  animalджаz anacondaz ятебяникогда,0
вот и на клипы ты знаешь кто он и круглый год накапали первые миллионы просмотров  а уже завтра у нас выходит новое видео угадаете на какую песню,0
черная пятница грядет а с ней и ная скидка на наш мерч акция продлится с  по   так что заходи на наш сайт под конец недели и тебе там найдется подарок и твоему новому парню anacondazrutourproducts  чернаяпятница blackfriday носкисдинозаврами,0
это будет жаркая неделька много урала и снова сибирь   ноября  ижевск  пинта  ноября  пермь  m  ноября  тюмень  байконур  ноября  екатеринбург  свобода  ноября  челябинск  ozz  билеты на anacondazru,1
anacondaz  ангел live at stadium   большие концерты в трех столицах  ноября  москва  stadium  декабря  минск  republic  декабря  санктпетербург  a  билеты и расписание тура anacondazru,1
важный день в истории мирового рока  нашему илье бешеному псу погребняку сегодня исполняется    к этому почтенному возрасту он свершил немало великих дел например записал  альбомов anacondaz и впустил в нашу грешную жизнь прекрасную заточку  ильюшон не сидит на месте  равняйся на ильюшона и поздравляй его от всей души,0
сибирь вы как там встречаемся уже на днях   ноября  красноярск  circus  ноября  новосибирск  подземка  билеты на anacondazru,1
ортм раскусывает футбольные вопросы как орешки и почти попадает в перекладину в новом выпуске проекта brosport tv  youtubecombrosporttv,0
у нашего друга мэйти вышел новый клип крот надо бы заценить   и еще припомнить нашу совместочку добрая песня  ну и на концерты к нему сходить  декабря  минск  граффити  декабря  петербург  opera  декабря  москва   тонн,1
наш большой концерт в московском adrenaline stadium откроет ермак  теперь уж точно нельзя прогуливать   билеты на anacondazru,1
на этой неделе компанию в туре нам составит великолепная заточка  следующие три города должны просто рыдать от счастья ведь ильюшон для них отпахает в две смены   ноября  киров  gaudi  ноября  казань  korston  ноября  нижний новгород  milo  все билеты на anacondazru,1
арт бу simple a r t,0
у нас две новости одна хорошая а вторая заебись   альбом в вк и на других площадках восстановлен в каноническом виде  все матюки вернули до последнего хуя   пока искали мат наслушали треки в этом плейлисте до    раз   спасибо за терпение и поддержку ебать,0
в ноябре продолжаем турить пуще прежнего  ближайшая паузернгастроль   ноября  воронеж  palazzo  ноября  ростовнадону  arena don  ноября  краснодар  arena hall  больше городов на anacondazru,1
 декабря пацаны откроют наш концерт в санктпетербурге готовимся и ценим их новый альбом,1
junkyard storytellaz  golden guillotine  запись интерзвук fonton сведение сергей наветный сева иванов  лейбл peter explorer  обложка bob diddle и максим опасных   слушать lnktogoldenguillotine тур  httpsvkccyyp,0
всем салам   пейзажи астраханские режисср астраханский гитарист астраханский юрец из тюмени,0
заточка  батя бьт маму премьера клипа  альбом грязное дельце   boom  httpsvkcccwdix,0
наше интервью для apple music наконецто вышло целиком если вы следите за нами в connectе то уже все посмотрели а если нет то вот вам ссылочки   часть  vkccdpiot часть  vkccdpjsd часть  vkccdpjdx часть  vkccdpjvm часть  vkccdpkk часть  vkccdpkll,0
если пропустили то вот почитайте предварительно сделайте себе какао или чай бутик и наслаждайтесь,0
 октября у группы anacondaz вышел альбом я тебя никогда в котором они в очередной раз смогли остаться верными своему фирменному стилю но при этом удивить слушателей по полной программе   поговорили с артмом о реакции фанатов на новый альбом любимой музыке рокнролле и планах на будущее   personalityykart  interviewykart,0
без паники   мы в курсе всей этой неразберихи с обычными и цензурированными версиями песен нового альбома  квалифицированные специалисты уже работают над устранением этой проблемы без выходных и обеденных перерывов,0
картинка заебись  anacondaz ятебяникогда мэнспрединг,0
чегем ,0
на прошлой неделе в чартовой дюжине состоялась премьера песни дубак с нашего нового альбома я тебя никогда  как ни странно это не первый наш трек засветившийся в хитпараде нашего радио несколько лет назад мы уже участвовали там с песней самый счастливый человек на земле причем с большим успехом  в  году наш фит с группой тараканы протусовался в чартовой дюжине целых  недель с  марта по  июля из них три недели подряд он входил в топ а  мая победно занял верхнюю строчку более подробную статистику можно найти на сайте tarafany tarafanyrucharts  дубаку также ничто не мешает возглавить этот топ всегото нужно каждый день голосовать за него на nasheruchartova номер  в раскрывающемся списке хвала всем кто так делает   anacondaz ятебяникогда tarakany чартовадюжина,0
пока в нашем коннекте ежедневно выходят новые кусочки видеоответов на вопросы об альбоме я тебя никогда ссылку мы давали постом ниже паблик yk опубликовал еще одно интервью с артмом  большое и текстовое  vkcomintervusartemomhorevymanacondaz  приятных чтений,0
на нашей странице в apple music connect вышло эксклюзивное интервью с ортмом сегой и тимуром вернее только первая часть интервью из планируемых шести в которой перетерли за название нового альбома его ранний слив панкрок и мэнспрединг  чтобы не пропустить остальные выпуски следите за нами в apple music geoitunesapplecomartistappmusic  anacondaz ятебяникогда applemusic,0
хоули щит копатьхоронить   в чартовой дюжине нашего радио стартовал наш дубак   голосовать за песню можно каждый день на wwwnasheruchartova наш номер в раскрывающемся списке номинантов   anacondaz ятебяникогда чартовадюжина,0
арт бу simple a r t,0
ровно за одну неделю c момента релиза плейлист с нашим новым альбомом собрал два миллиона прослушиваний в vk music спасибевичи за поддержку  кто первым оставит комментарий почему учитываются только мои прослушивания будет дьявольски оригинален  anacondaz ятебяникогда,0
а еще наш новый альбом можно слушать на youtube и любоваться в это время его обложкой в качестве от p до p приятного просмотра  целиком httpsyoutubefmiqbftea попесенно httpsgoogldetshn  anacondaz ятебяникогда,0
и снова день рождения проффа выпадает на наш очередной тур  мы отмечаем его прямо в дороге а вы можете поздравить алексея во всех его соцсетях и здесь в комментариях белгород так вообще может сделать это живьем сегодня же вечером в клубе часы,1
вы спрашивали где наш новый альбом да везде   itunes store applecopltum    apple music applecocckkyq    яндексмузыка googlesmxq    youtube music googlqh   google play googluxqwtf    soundcloud googlzbyy   spotify spotifiisgqs   deezer googlkndrb,0
добро пожаловать на концерты тура все билеты на anacondazru    калуга  garage   тула  m   белгород  часы показать полностью,1
anacondaz  я тебя никогда   слушать в boom vkcczsyf  музыка мерч билетики anacondazru  anacondaz ятебяникогда,0
уже на этой неделе первые концерты тура   октября  калуга  октября  тула  октября  белгород  а у нас почти закончились лимитированные худи которые можно приобрести только на официальном сайте вместе с билетами на любой из концертов httpsanacondazrutourtickets  осталось всего несколько штук,1
наш новый альбом выйдет  октября   а пока можно залететь к нам в социальные сети и подсмотреть разные интересности   билеты на тур httpsanacondazru instagram httpsinstagramcomrapanacondazutmsourceigpro twitter httpstwittercomrapanacondaz,1
поучаствовали тут в одной барной викторине правда за пределами бара  стыдно,0
илья в этом году постарался на славу записал не только наш драгоценный шестой альбом уже совсем скоро не кипишуйте но и дебютную пластинку своего нового проекта заточка  первый московский концерт заточки состоится  декабря в клубе  тонн билеты httpszatochkaru,1
ниже вы найдете расписание нашего тура  все билеты на anacondazru  а теперь давайте поиграем в нашу традиционную игру где альбом в комментариях ведь от этого он обязательно выйдет раньше    калуга  garage показать полностью,1
байкам инсайдера тут давеча три года исполнилось  а у вас какие тречки с него любимые,0
презентация нового альбома anacondaz     ноября  москва adrenaline stadium    декабря  санктпетербург a green concert  билеты на все концерты тура  httpsanacondazrutourtickets  anacondaz adrenalinestadium agreenconcert,1
гуд ньюс эвриван все товары в нашем интернетмагазине теперь можно оплачивать с помощью apple pay только в браузере safari  билеты httpsanacondazrutourtickets мерч httpsanacondazrutourproducts  смотрим прицениваемся,0
поедем в следующем году на нашествие,1
минск ждал и дождался  презентация нашего нового альбома состоится на белорусской земле в первый день зимы клуб republic строго  к сожалению несовершеннолетние не смогут попасть на концерт даже в сопровождении родителей старших братьевсестер или домашних животных  билеты httpsanacondazruanacondazinminskhall  минск minsk беларусь belarus,1
охуительный альбом будет,0
мастер слова очень сильный и мой хипхоп кумир сергей карамушкин из группы anacondaz уже послушал ледовитый и делится впечатлениями  альбомвселенная кинематографичный текст сам по себе не работает он должен трогать тут он трогает а потому  ожил весь песенный контекст с его образами и якорями оживает и разрастается при прослушивании волшебство до мурашек  предзаказ альбома здесь httpsbandlinkzimavsegda,0
не имеет значения придерживаетесь вы консервативных взглядов или считаете себя человеком прогрессивным носки из нашего интернетмагазина способны отразить в вашем облике любое мировоззрение  httpsanacondazrutourproducts,0
нужен мерч к валентину на рояле  нужна вписка к валентину  хотите передать бутылку джека нам к валентину   дико поздравляем нашего повелителя туров и текстиля с днм рождения   ps вписок нет валентин,0
очень большой рэп спасибо,0
 ноября в московском клубе adrenaline stadium состоится презентация нового альбома группы anacondaz   билеты в продаже в кассах и на сайтах   httpsvkcomapp   httpsvkccvug   httpsanacondazru    заказ по телефону   ,1
завтра в лужниках рэп  большой вход  свободный  начало всей движухи в  а нашего сета  в   деньгорода большойрэп luzhnikifree,1
змеиные истории episode iv  повествует о нашем дебютном выступлении на нашествии  шутим шутейки пропитываемся священным русским роком и конечно же ищем танки на поле все как вы любите  оператор андрей шувалов  anacondaz змеиныеистории нашествие,1
ну и коли уж сегодня день поколения вспомним видосик с нашего первого выступления в питере в  году как раз к песне про пятое сентября электричество на этом концерте решило покинуть нас  зы сорян ребята змеиные истории будут только завтра крепитесь,1
 сентября говорите,0
завтра новые змеиные истории с нашествия  а некоторые из вас еще даже старые не посмотрели не стыдно ли,0
в эту субботу празднуем день города москвы на большом рэпе  обратите внимание на то как сильно изменились лужники за последние десять лет вот и вход стал бесплатным  деньгорода большойрэп luzhnikifree,0
великий анаконгород,0
если вы сейчас в великом новгороде и при этом не на фестивале звукоморье то что вы вообще там делаете  бегите на софийскую площадь наш выход на сцену в  вход свободный подробности vkcomzvukomore  новгород великийновгород звукоморье,1
осенью в россии очень депрессивно но лишь до того момента пока мы не начнем давать концерты а приступим мы к этому незамедлительно   сентября  великий новгород  звукоморье  вход свободный подробности vkcomzvukomore  новгород великийновгород звукоморье,1
новая осенняя линейка паузернмерча уже в нашем интернетмагазине  бейсболка anacondaz  anacondazrubaseballcaphall рубашка anacondaz  anacondazrushirthall носки енот  anacondazrusocksraccoonhall носки динозавры  anacondazrusocksdinosaurshall  лимитированные худи только в составе vipбилетов httpsanacondazrutourtickets,0
сериалу могучие рейнджеры исполнилось  лет  в конце августа  года вышел его первый эпизод   в честь солидной даты предлагаем добить наш клип вдохновленный этим легендарным шоу до    просмотров на youtube а там уже почти,0
напоминаем что на предстоящий концерт anacondaz в москве есть широкий ассортимент vipбилетов которые позволят вам насладиться выступлением за столиками с отличным обзором сцены и персональным обслуживанием    заказать vipбилеты можно на сайте httpsvkccvug   а также по телефону       не упустите возможность провести время на осеннем концерте anacondaz с максимальным комфортом и до встречи  ноября в клубе adrenaline stadium,1
соскучились по змеиным историям  ловите долгожданный третий выпуск в котором мы вернемся на pauzern picnic  наш единственный летний сольник в москве  оператор денис носков  anacondaz змеиныеистории pauzernpicnic,0
тараканы вывалили на ютуб свой юбилейный dvd включающий наш совместный номер смотреть с  pauzern crew на нем дали такого огня как будто они не в главклубе а гденибудь в йотаспейсе  httpsyoutubegyhhyonrthms,0
друзья специально для тех кто ищет компанию попутчиц или попутчиков на грандиозный концерт группы anacondaz в москве была создана отдельная темаобсуждение    httpsvkcomtopic  выступление состоится  ноября но мы уже сейчас предлагаем всем обсудить планы по коллективному походу в клуб adrenaline stadium   смело отмечайтесь в теме и находите единомышленников для приятного времяпрепровождения на презентации нового альбома anacondaz в столице    приобретайте билеты заранее httpsvkccvug,1
ровно месяц назад тараканы выпустили лириквидео на песню пыль и пепел записанную совместно с группой anacondaz песня появилась в сентябре  года в рамках проекта много шума из ничего трек получился совершенно непохожим на то что тараканы делали раньше или делают сейчас тем не менее эксперимент удался песня стала одной из лучших на альбоме пыль и пепел уже вторая песня с альбома много шума из ничего которая исполняется группой на концертах  показать полностью,0
тур  билеты anacondazru    великий новгород  софийская площадь   калуга  garage   тула  m показать полностью,1
акустика live москва ,1
летние фестивали подошли к концу зато возникли осенние   сентября  великий новгород  звукоморье  подробности vkcomzvukomore  новгород великийновгород звукоморье,1
нашествие,1
сегодня наш долгожданный дебют на главном рэпсобытии года  играем финальный концерт на сцене наше  в  httpsnashestvierulineup  нашествие большоезавидово праздникхипхопа,1
тамань принимает со всем теплом  наш выход на главную сцену в ,1
в эту субботу жаримся на самом горячем байкфестивале россии   августа  веселовка  тамань  наш сет в   подробности httptamanfestcom  тамань полуостровсвободы яедунатамань,1
 ноября в московском клубе adrenaline stadium состоится презентация нового альбома группы anacondaz   билеты в продаже в кассах и на сайтах   httpsvkcomapp   httpsvkccvug   httpsanacondazru    заказ по телефону   ,1
взлетные огни аэродрома левцово,0
доброфест прекрасен,1
 плейлист что слушает артм хорев anacondaz   эти песни я чаще других слушал в этом году  сказал нам артм и поделился плейлистом из  треков новинки от мэйти и twenty one pilots немного постхардкора от wildways и underoath и многое другое бери плейлист с собой в поход   плейлистblackmilktv anacondazblackmilktv чтослушаетblackmilktv,0
горячие новости  начало нашего добросета сдвигается на ,1
продолжаем фестивалить  ярославскую область сегодня сотрясает доброфест наш выход на зеленую сцену в   httpsdobrofestinfoprogram  доброфест доброфест ярославль,1
pauzernpicnic удался  всем спасибо,1
 плейлист что слушает сега anacondaz   основатель приватной радиоволны секс fm сега открыл нам доступ к вечернему эфиру от кантрирэпа до восставшего из пепла постхардкора  настраивай примник и жми на репост или даша умрт пожелание от сергея  плейлистblackmilktv anacondazblackmilktv,0
pauzern picnic в парке красная пресня уже завтра  июля    единственный летний сольник anacondaz   выступление гостей из беларуси beznot   а еще можно будет забиться прямо на концерте   и пусть никто не уйдет обиженный  билеты на пикник httpsanacondazruanacondazpauzernpicnichall,1
pauzern picnic на красной пресне уже в этот четверг  httpsanacondazruanacondazpauzernpicnichall  и чтобы настроиться перед концертом на правильную волну давайте посмотрим aftermovie с нашего прошлогоднего сольника под открытым небом,1
anacondaz  акустика live москва   запись была сделана на закрытом акустическом концерте для участников pauzernклуба  слушать на boom boomruredirectalbum  концерты anacondazru anacondaz,1
горячий фестивальный хой ижевску и всей удмуртии  сегодня встречаемся на улетае    наш сет на северной сцене   автографсессия  ижевск сарапул удмуртия улетай,1
 июля наш концерт в рамках pauzernпикника откроют специальные гости из беларуси псевдореггибанда beznot  подтягивайтесь на пресню к  этих парней не стоит пропускать  подробности события  июля москва парк красная пресня pauzern picnic  билеты httpsanacondazruanacondazpauzernpicnichall,1
тараканы feat anacondaz  пыль и пепел  премьера lyric video  дмитрий спирин о песне и клипе   отправляясь в сентябре  года в добровольное рокотшельничество в рамках проекта много шума из ничего мы взяли на себя ответственность сочинять по одной новой песне в день показать полностью,0
наш единственный летний концерт в москве уже совсем близко  pauzern picnic в парке красная пресня прогремит  июля так что можете начинать к нему готовиться прямо сейчас  специальные гости пикника beznot беларусь  билеты httpsanacondazruanacondazpauzernpicnichall,1
новый видос от группы заточка  это всегда праздник  заточка мистерполисмен грязноедельце,0
видеоверсия нашего концерта в программе воздух на наше тв подоспела  смотрите и помните что близится наш дебют на главном рэпфестивале страны httpsnashestvierulineup  anacondaz нашетв нашествие большоезавидово,0
тараканы feat anacondaz  пыль и пепел official lyric video  премьера видео на нашу огненную совместочку напомним что трек был реализован в рамках проекта много шума из ничего на котором тараканы сочиняли и записывали по одной песне в сутки в течение  дней весь творческий процесс круглосуточно транслировался на ютубе мы присоединились к ним на пятый день этого эксперимента и вот результат    концерты группы anacondaz anacondazru   концерты группы тараканы tarakanyru   июля играем рядышком на доброфесте dobrofestinfoprogram tarakany anacondaz доброфест многошумаизничего,0
с сегодняшнего дня в нашем интернетмагазине на anacondazru действует самое щедрое предложение евер скидка  почти на все товары  httpsanacondazrutourproducts  акция продлится целых две недели те до  июля включительно  скидка не распространяется на винил и cd выходи за меня а также на футболки смотри на меня и енот,0
приколистый кавер  андрей петрович луганский  поезда или страх и отвращение в столыпине,0
большая астраханская премьера  новый альбом наших близхоньких друзей mireia  через горизонт  itunes httpsapplecoudgyqe google play httpsgooglnhhka boom httpsvkccgtou  mireiamusic mireia черезгоризонт астрахань,0
в эти самые дни в киеве проходит замечательный фестиваль atlas weekend   и пусть в этом году мы в нем не участвуем зато есть повод вспомнить сексуальное видео из ого  anacondaz feat pivovarov  хаос live at atlas weekend kiev ,1
еще один фестиваль до которого осталось всего ничего   июля  удмуртская республика  мо нечкинское yletaй  ижевск сарапул удмуртия улетай,1
большая презентация нового альбома anacondaz состоится в москве только в конце осени но группа уже нашла чем скрасить себе и своей публике столь долгое ожидание    июля прямо посреди жаркого столичного лета в парке красная пресня развернется первый в своем роде pauzern picnic   билеты в продаже в кассах и на сайтах   httpsvkccbxvpn   httpsvkccbxvg    заказ по телефону   ,1
ежели вы пропустили эфир программы воздух с нашим участием ловите сегодня повтор в  по московскому времени  httpplayernasheruplay   fm в москве   fm в питере,0
июль наступил а значит скоро доброфест  лайнап httpsdobrofestinfoprogram билеты httpsvkccesfss  собираетесь на него в этом году,1
вот прямо сейчас и начнется наш радиоконцерт рокового направления   подключайтесь httpplayernasheruplay,1
сегодня в  мск слушайте наш живой концерт и интервью михаилу марголису в программе воздух на нашем радио   fm в москве  fm в питере онлайнвещание httpplayernasheruplay  кстати зацените чудеса экстрасенсорики мы прикрепили именно тот трек который вы еще секунду назад собирались скидывать в комментарии,1
отличный пятничный вечерок в астане  лд алау сегодня распухнет от хипхопа httpswwwalauinforusnewscidrid  астана astana alauicepalace казахстан,1
ого да мы в youtube music  на нас можно подписываться добавлять альбомы в библиотеку а также песни слушать и клипы смотреть  musicyoutubecomchannelucvjrzsdvhcnzmcqrzq  где вы еще такое видели,0
казахстан на связи  уже в эту пятницу встретимся с вами после четырехлетнего перерыва   июня  астана  ледовый дворец алау hiphop fest httptopticketkzdetailsphpeventid  астана astana alauicepalace казахстан,1
большая презентация нового альбома anacondaz состоится в москве только в конце осени но группа уже нашла чем скрасить себе и своей публике столь долгое ожидание   июля прямо посреди жаркого столичного лета в парке красная пресня развернется первый в своем роде pauzern picnic  концерт anacondaz на свежем воздухе совмещенный с едой и другими приятными активностями все что так мило вашему сердцу в одно время и в одной локации  подробности httpsvkcomanacondazpauzernpicnic билеты httpsanacondazruanacondazpauzernpicnichall,1
 июня в пространстве creators base в музее москвы играем в футбол   мы сколотили команду под названием деньги не проблема и готовы завтра зарубиться аки дикие лемминги   подробнее httpscreatorsbaseadidasruevent  приходите болеть и радоваться жизни,1
можно взять палочку и покопаться в себе,0
премьера printa  баллада о блуждающих feat чаян фамали у нас нет возможности изменить прошлое и часто оно не дает измениться нам всем сбившимся со своего пути посвящается  httpsapplecomipkbv apple music  httpsapplecolvnkqp itunes  httpsbitlymkuyyx yandexmusic httpbitlymnwqsn google play,0
anacondaz о гулаге татуировках и шиномонтаже с тимати  в свежем интервью михаилу марголису для лентыру  httpslentaruarticlesanacondaz,0
грязные  агрессивные  настоящие ,0
всем утренний хой мы в прямом эфире  httpwwwnasheruanacondaz,0
 июня в  гостями утреннего шоу подъмники станут музыканты группы anacondaz сега и ортм ждм ваших вопросов на наш смсномер  и в комментариях видеотрансляцию прямого эфира смотрим на нашеру  нашерадио слушай смотри эфир подъемики anacondaz,0
завтра утром с  до  по москве ловите сегу и ортма в эфире шоу подъемники на нашем радио иль вы не рокеры  httpswwwnasheruprogramsutro,0
змеиные истории  если пропустили наши сногсшибательные отчты то самое время их посмотреть  hiphop mayday и день физика мфти нашими глазами,0
слем астана   июня встретимся с вами на большом хипхоп фесте с кастой в хедлайнерах который пройдет в ледовом дворце алау  билеты httptopticketkzdetailsphpeventid  астана astana alauicepalace казахстан,1
в жизни всегда есть место подвигу  mprraccoon,0
сегодня  июня как вы все хорошо знаете большой праздник  потому что в этот день родился ортм хорев которого следует немедленно поздравить в комментариях,0
женя очень любит рэп,0
anacondaz pauzerncrew anacondazplaylist  сегодня мы хотим поделиться с вами подборкой любимых треков от басиста евгения форманенко и ниже вы можете прослушать их,0
большая презентация нового альбома anacondaz состоится в москве только в конце осени но группа уже нашла чем скрасить себе и своей публике столь долгое ожидание   июля прямо посреди жаркого столичного лета в парке красная пресня развернется первый в своем роде pauzern picnic  концерт anacondaz на свежем воздухе совмещенный с едой и другими приятными активностями все что так мило вашему сердцу и желудку в одно время и в одной локации показать полностью,1
сегодня у солнечного михалыча из нашего личного ривенделла день рождения с чем мы его сердечно поздравляем  и пусть наш животный джазбэнд будет всегда прекрасен   animalджаz zeropeople александркрасовицкий,0
дебютный клип заточки  внутри знакомые все лица  заточка настрелу грязноедельце,0
змеиные истории ютуб покажет наш змеиные истории  по ссылочке переходи vkccysrb   мая посетили день физика в мфти что в подмосковном долгопрудном расположен своими глазами увидели место где рождаются физикиядерщики и вам решили показать   оператор денис носков  anacondaz змеиныеистории днифизика,0
зима близко питер  а там и презентация нашего нового альбома   декабря  a green concert  билеты httpsanacondazruanacondazinspbhall  anacondaz agreenconcert питер спб,1
anacondaz pauzerncrew  сегодня мы узнаем что находится в плейлисте у звукорежиссра группы anacondaz александра полежаева слушаем и делимся впечатлениями,0
змеиные истории увидеть не хотите ли   мая в лужниках отгремел ежегодный фестиваль hiphop mayday  мы не только выступали там но и вдобавок запечатлели сие мероприятие  жизнь от чека до бэка  продолжение следует  оператор денис носков  anacondaz змеиныеистории hiphopmayday,0
солнечному питеру,0
с днем полотенца всех причастных  и даже если у вас отключили горячую воду без паники ведь это значит что гдето на другом конце галактики ее включили обратно  деньполотенца безпаники дугласадамс,0
вслед за нашим совместным синглом добрая песня сегодня у мэйти вышел долгожданный новый альбом биголло ч  слушайте и приходите на его презентации  мая  санктпетербург  июня  москва мы  спецгости  мэйти anacondaz биголло,0
мэйти  добрая песня пу anacondaz   вс будет не будет   любовь романтика ромашки,0
алабама   илюшон с юрцом сколотили группу назвали ее заточка и выпустили дебютный альбом грязноедельце  яндексмузыка httpsvkccmztb  google play httpsvkccnuf  боглюбиткантри,0
давно хотели с мишей поработать и вот наконецто всем добра,0
премьера мэйти  добрая песня пу anacondaz  альбом биголло ч |   показать полностью,0
дебютный альбом сайдпроекта ильюшона,0
заточка  грязное дельце    яндексмузыка httpsvkccmztb  google play httpsvkccnuf   показать полностью,0
специально для тех кто пропустил наше выступление в шоу rock weekend эфир был целиком записан на vhs  httpsyoutubewcjvpno  anacondaz радиомаяк роковойуикенд,1
 мая  года родился на свет наш второй альбом дети и радуга   значит уже через год пойдет в школу надеемся что не в новую    itunes httpsapplecowivvn   google play httpsgooglgngfvn   яндексмузыка httpsmusicyandexrualbum   вк httpsvkcomaudiozaudioplaylist,0
а мы в эфире httpsradiomayakru  подрубаемся  многоканальный телефон прямого эфира   smsпортал  сообщение начинайте со слова маяк а также пишите в whatsapp и viber ,0
сегодня в  настраивайте свои радиоприемники представим что они у вас есть на волну маяка в москве это  fm и слушайте наш концерт в прямом эфире шоу роковый уикенд  ну или просто перейдите в назначенный час по ссылке httpsradiomayakru  многоканальный телефон прямого эфира   smsпортал  сообщение начинайте со слова маяк а также пишите в whatsapp и viber в telegram не пишите это противозаконно ,0
в субботу даем живой концерт на маяке в программе роковый уикенд  прямой эфир начнется в  по москве вносите в ежедневник   fm | httpsradiomayakrushowsshowid,1
сегодня международный день музеев  отличный повод сходить на какуюнибудь выставку и окультуриться вдоволь  деньмузеев международныйденьмузеев museumday,0
новости минувших дней    артм хорев из группы anacondaz анонсировал скорый выход альбома мэйти и совместную песню на нм    серия фотографий из алатыря и следующие слова появились в соцсетях миши уехал на съемки фильма видимо речь идт о съмке документального фильма о родном городе артиста показать полностью,0
единственный человек в группе кто слушает в основном рэп,0
anacondaz pauzerncrew anacondazplaylist  начнм эту неделю с плейлиста от битмейкера тимура пресетова,0
стильные паузернаксессуары для выхода в люди  куда бы вы ни собрались во двор в магазин в гараж в пенсионный фонд  наденьте на себя наш браслет или нацепите значок  и не удивляйтесь восторженным взглядам со всех сторон теперь они будут сопровождать вас повсюду  httpsvkcommarket,0
а ведь этим летом мы посетим не только многочисленные фестивали абстрактного хипхопа но и землю обетованную с сольным концертом   августа  тельавив  gagarin  билеты уже в продаже httpswwwtixwisecoilheeventbbbff  израиль тельавив israel telaviv,1
anacondaz pauzerncrew anacondazplaylist  сегодня мы хотим поделиться с вами подборкой любимых треков от алексея назарчука и ниже вы можете ближе ознакомиться с каждым из них   the fever  показать полностью,0
 anacondaz  презентация нового альбома   ноября  москва adrenaline stadium   приобретайте билеты заранее httpsvkccvug,1
поздравляем всех с днем радио нашими самыми радиофрендли треками  деньрадио попов мая,0
вот оно какое наше лето   июля  ижевск  yletaй  июля  ярославль  доброфест  августа  большое завидово  нашествие  августа  веселовка  тамань  рокфестиваль рэпфестиваль фестивальавторскойпесни,1
